_key,name,Pivot Field Values,followers,popularity
1CYsQCypByMVgnv17qsSbQ,"Crosby, Stills, Nash & Young",Indie/Alternative Vibes,1622101,55
1CYsQCypByMVgnv17qsSbQ,"Crosby, Stills, Nash & Young",Chillout & Relaxation,1622101,55
1CYsQCypByMVgnv17qsSbQ,"Crosby, Stills, Nash & Young",Hip-Hop & Rap Essentials,1622101,55
2UZMlIwnkgAEDBsw1Rejkn,Tom Petty,Indie/Alternative Vibes,2375430,67
2UZMlIwnkgAEDBsw1Rejkn,Tom Petty,Chillout & Relaxation,2375430,67
2UZMlIwnkgAEDBsw1Rejkn,Tom Petty,Rock Classics,2375430,67
3lPQ2Fk5JOwGWAF3ORFCqH,John Mellencamp,Indie/Alternative Vibes,1633330,63
3lPQ2Fk5JOwGWAF3ORFCqH,John Mellencamp,Chillout & Relaxation,1633330,63
3lPQ2Fk5JOwGWAF3ORFCqH,John Mellencamp,Rock Classics,1633330,63
6vWDO969PvNqNYHIOW5v0m,Beyoncé,Indie/Alternative Vibes,36383047,82
6vWDO969PvNqNYHIOW5v0m,Beyoncé,Rock Classics,36383047,82
0Ou5Z7WQUrz6uWquJBHnaS,Jay-Z,Global Sounds,8746024,81
0Ou5Z7WQUrz6uWquJBHnaS,Jay-Z,Hip-Hop & Rap Essentials,8746024,81
1HY2Jd0NmPuamShAr6KMms,Lady Gaga,Indie/Alternative Vibes,28507744,82
1HY2Jd0NmPuamShAr6KMms,Lady Gaga,Electronic/Dance Beats,28507744,82
1Y8cdNmUJH7yBTd9yOvr5i,Destiny's Child,Electronic/Dance Beats,6816396,69
1Y8cdNmUJH7yBTd9yOvr5i,Destiny's Child,Indie/Alternative Vibes,6816396,69
1Y8cdNmUJH7yBTd9yOvr5i,Destiny's Child,Hip-Hop & Rap Essentials,6816396,69
22bukBZvUppuwQwmDz75Gz,Sander van Doorn,Indie/Alternative Vibes,363530,45
22bukBZvUppuwQwmDz75Gz,Sander van Doorn,Electronic/Dance Beats,363530,45
22bukBZvUppuwQwmDz75Gz,Sander van Doorn,Chillout & Relaxation,363530,45
60d24wfXkVzDSfLS6hyCjZ,Martin Garrix,Indie/Alternative Vibes,15738794,73
60d24wfXkVzDSfLS6hyCjZ,Martin Garrix,Electronic/Dance Beats,15738794,73
73jBynjsVtofjRpdpRAJGk,Dimitri Vegas & Like Mike,Indie/Alternative Vibes,3438484,66
73jBynjsVtofjRpdpRAJGk,Dimitri Vegas & Like Mike,Electronic/Dance Beats,3438484,66
73jBynjsVtofjRpdpRAJGk,Dimitri Vegas & Like Mike,Chillout & Relaxation,3438484,66
4D75GcNG95ebPtNvoNVXhz,Afrojack,Indie/Alternative Vibes,4015250,68
4D75GcNG95ebPtNvoNVXhz,Afrojack,Electronic/Dance Beats,4015250,68
